Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 09/26/2020,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2017; state=FL; GHGs=ALL; data type=All Emitters; emissionsType=FC_PP; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2017,"Alexander Orr, Jr. Water Treatment Plant",1012573,6800 SW 87TH AVE,25.708072,-80.336146,MIAMI,MIAMI-DADE COUNTY,FL,33173,MIAMI DADE PUBLIC WORKS & WASTE MANAGEMENT DEPARTMENT (100%),7559,C
2017,Big Bend,1001492,13031 WYANDOTTE ROAD,27.7944,-82.4036,APOLLO BEACH,Hillsborough,FL,33572,Tampa Electric CO (100%),550,D
2017,Brandy Branch,1001167,15701 W BEAVER ST,30.3206,-81.9486,BALDWIN,Duval,FL,32234,JEA (100%),777,"C,D"
2017,Brooksville South Cement Plant,1003303,10311 CEMENT PLANT ROAD,28.582265,-82.430829,BROOKSVILLE,HERNANDO COUNTY,FL,34601,CEMEX INC (100%),439,"C,H"
2017,C D McIntosh Jr Power Plant,1001500,3030 E LAKE PARKER DR,28.0809,-81.9256,LAKELAND,Polk,FL,33801,CITY OF LAKELAND (83.3%); CITY OF ORLANDO (16.7%),153,"C,D"
2017,CLEWISTON SUGAR HOUSE,1006008,1731 SOUTH WC OWEN AVENUE,26.73547,-80.93593,CLEWISTON,HENDRY COUNTY,FL,33440,US SUGAR CORP (100%),5700,C
2017,Cape Canaveral,1007650,6000 NORTH US HWY 1,28.4694,-80.7642,COCOA,Brevard,FL,32927,FPL GROUP INC (100%),10880,D
2017,Cedar Trails Class III,1004750,2500 State Road 60 West,27.89808,-81.884525,Bartow,POLK COUNTY,FL,33830,REPUBLIC SERVICES INC (100%),0,"C,HH"
2017,Charles Larsen Memorial Power Plant,1001499,2002 E RD 92,28.0491,-81.9238,LAKELAND,Polk,FL,33801,CITY OF LAKELAND (100%),129,"C,D"
2017,Crist Electric Generating Plant,1006702,11999 PATE ST,30.5661,-87.2289,PENSACOLA,Escambia,FL,32514,SOUTHERN CO (100%),2533,D
2017,Curtis H. Stanton Energy Center,1001472,5100 S ALAFAYA TRAIL,28.4836,-81.1686,ORLANDO,Orange,FL,32831,ORLANDO UTILITIES COMMISSION (100%),487,D
2017,DeBary Power Plant,1001014,176 WEST HIGHBANKS RD,28.9047,-81.3319,DEBARY,Volusia,FL,32713,DUKE ENERGY CORP (100%),7378,"C,D"
2017,Deerhaven,1001495,10001 NW 13TH ST,29.7586,-82.3883,GAINESVILLE,Alachua,FL,32653,CITY OF GAINESVILLE (100%),2279,"C,D"
2017,Florida State University,1005785,"990 Learning Way, Building 30",30.442663,-84.29763,Tallahassee,LEON COUNTY,FL,32306,FLORIDA STATE UNIVERSITY (100%),30,C
2017,"Foley Cellulose, LLC",1000345,1 BUCKEYE DRIVE,30.068694,-83.52375,PERRY,TAYLOR COUNTY,FL,32348,KOCH INDUSTRIES INC (100%),22979,"AA,C,TT"
2017,Fort Myers,1001483,10650 STATE ROAD 80,26.6967,-81.7831,FORT MYERS,Lee,FL,33905,FPL GROUP INC (100%),20164,"C,D"
2017,GEORGIA PACIFIC CONSUMER OPERATIONS LLC,1007135,215 COUNTY ROAD 216,29.681083,-81.680217,PALATKA,PUTNAM COUNTY,FL,32177,KOCH INDUSTRIES INC (100%),7,"AA,C,TT"
2017,Hardee Power Station,1001254,6695 COUNTY ROAD 663 N,27.6364,-81.9636,BOWLING GREEN,Hardee,FL,33834,INVENERGY LLC (51%); MARUBENI POWER AMERICA INC (49%),87,"C,D"
2017,Hines Energy Complex,1001112,7700 COUNTY ROAD 555,27.7886,-81.8694,BARTOW,Polk,FL,33830,DUKE ENERGY CORP (100%),76,D
2017,IFF CHEMICAL HOLDINGS INC,1007956,2051 LANE AVENUE NORTH,30.34774,-81.7494,JACKSONVILLE,DUVAL COUNTY,FL,32254,INTERNATIONAL FLAVORS & FRAGRANCES INC (100%),12497,C
2017,Intercession City Power Plant,1001188,6525 OSCEOLA POLK LINE ROAD,28.2628,-81.5486,INTERCESSION CITY,Osceola,FL,33848,DUKE ENERGY CORP (95.48%); SOUTHERN CO (4.52%),16347,"C,D"
2017,J R Kelly,1001496,515 SE 5 AVE,29.6467,-82.3219,GAINESVILLE,Alachua,FL,32601,CITY OF GAINESVILLE (100%),4,"C,D"
2017,LEE COUNTY SOLID WASTE RESOURCE RECOVERY FACILITY,1002268,10500 BUCKINGHAM ROAD,26.631667,-81.761389,FORT MYERS,LEE COUNTY,FL,33905,LEE COUNTY PUBLIC UTILITIES DEPARTMENT (100%),1299,C
2017,Lansing Smith Generating Plant,1001491,4300 HIGHWAY 2300,30.2689,-85.7003,SOUTHPORT,Bay,FL,32409,SOUTHERN CO (100%),287,"C,D"
2017,Lauderdale,1007471,4300 SOUTHWEST 42ND STREET,26.0681,-80.1983,FORT LAUDERDALE,Broward,FL,33314,FPL GROUP INC (100%),67140,"C,D"
2017,Manatee,1007255,19050 STATE ROAD 62,27.6058,-82.3456,PARRISH,Manatee,FL,34219,FPL GROUP INC (100%),87338,D
2017,Martin,1001013,21900 SW WARFIELD BLVD,27.0536,-80.5628,INDIANTOWN,Martin,FL,34956,FPL GROUP INC (100%),90464,"C,D"
2017,Midulla Generating Station,1000110,6697 COUNTY ROAD 663,27.6417,-81.9625,BOWLING GREEN,Hardee,FL,33834,SEMINOLE ELECTRIC COOPERATIVE INC (100%),55,"C,D"
2017,Mosaic Bartow Facility,1009708,3200 Highway 60 West,27.905815,-81.916797,Bartow,POLK COUNTY,FL,33830,THE MOSAIC CO (100%),3714,"C,Z"
2017,"Mosaic Fertilizer LLC, Plant City Facility",1004669,660 East County Line Road,28.168056,-82.141667,PLANT CITY,HILLSBOROUGH COUNTY,FL,33565,THE MOSAIC CO (100%),4082,"C,Z"
2017,"Mosaic Fertilizer, LLC",1005817,13830 Circa Crossing Drive,27.85118,-82.2599,Lithia,HILLSBOROUGH COUNTY,FL,33547,THE MOSAIC CO (100%),20589,C
2017,Mosaic New Wales Facility,1009709,3095 Highway 640,27.834363,-82.049256,Mulberry,POLK COUNTY,FL,33860,THE MOSAIC CO (100%),9229,"C,Z"
2017,Mosaic Riverview Facility,1009711,8813 US Highway 41 South,27.864473,-82.385841,Riverview,HILLSBOROUGH COUNTY,FL,33578,THE MOSAIC CO (100%),2402,"C,Z"
